t,KE,vx
2.295833,5.02167845e+00,3.16912556e+00
2.300000,5.00077581e+00,3.16252303e+00
2.304167,4.97996092e+00,3.15593433e+00
2.308333,4.95923233e+00,3.14935946e+00
2.312500,4.93859005e+00,3.14279819e+00
2.316667,4.91803360e+00,3.13625050e+00
2.320833,4.89756298e+00,3.12971663e+00
2.325000,4.87717772e+00,3.12319636e+00
2.329167,4.85687733e+00,3.11668968e+00
2.333333,4.83666134e+00,3.11019659e+00
2.337500,4.81652927e+00,3.10371685e+00
2.341667,4.79648113e+00,3.09725070e+00
2.345834,4.77651596e+00,3.09079790e+00
2.350000,4.75663424e+00,3.08435869e+00
2.354167,4.73683548e+00,3.07793283e+00
2.358333,4.71711874e+00,3.07152033e+00
2.362500,4.69748402e+00,3.06512117e+00
2.366667,4.67793083e+00,3.05873537e+00
2.370833,4.65845966e+00,3.05236292e+00
2.375000,4.63906956e+00,3.04600382e+00
2.379167,4.61976004e+00,3.03965783e+00
2.383333,4.60053110e+00,3.03332520e+00
2.387500,4.58138180e+00,3.02700567e+00
2.391667,4.56231213e+00,3.02069926e+00
2.395833,4.54332161e+00,3.01440597e+00
2.400000,4.52441025e+00,3.00812578e+00
2.404167,4.50557804e+00,3.00185871e+00
2.408334,4.48682404e+00,2.99560475e+00
2.412500,4.46814823e+00,2.98936391e+00
2.416667,4.44955015e+00,2.98313594e+00
2.420833,4.43102980e+00,2.97692108e+00
2.425000,4.41258621e+00,2.97071910e+00
2.429167,4.39421892e+00,2.96452999e+00
2.433333,4.37592840e+00,2.95835376e+00
2.437500,4.35771418e+00,2.95219040e+00
2.441667,4.33957577e+00,2.94603992e+00
2.445833,4.32151270e+00,2.93990231e+00
2.450000,4.30352449e+00,2.93377733e+00
2.454167,4.28561163e+00,2.92766523e+00
2.458333,4.26777315e+00,2.92156577e+00
2.462500,4.25000954e+00,2.91547918e+00
2.466667,4.23231936e+00,2.90940523e+00
2.470834,4.21470308e+00,2.90334392e+00
2.475000,4.19715977e+00,2.89729524e+00
2.479167,4.17968988e+00,2.89125919e+00
2.483333,4.16229200e+00,2.88523555e+00
2.487500,4.14496708e+00,2.87922454e+00
2.491667,4.12771416e+00,2.87322617e+00
2.495833,4.11053324e+00,2.86724019e+00
2.500000,4.09342337e+00,2.86126661e+00
2.504167,4.07638502e+00,2.85530567e+00
2.508333,4.05941820e+00,2.84935713e+00
2.512500,4.04252148e+00,2.84342098e+00
2.516667,4.02569437e+00,2.83749700e+00
2.520833,4.00893784e+00,2.83158541e+00
2.525000,3.99225140e+00,2.82568622e+00
